"Time (s)","Rotation x (rad/s)","Rotation y (rad/s)","Rotation z (rad/s)"
1.154645557E2,1.023191307E-2,1.349177957E-2,4.539500806E-4
1.154844467E2,4.974522628E-3,-2.394859865E-2,4.113832489E-3
1.155043367E2,4.548591562E-3,-5.969116837E-2,3.805838292E-3
1.155242277E2,1.571093686E-3,-9.730321914E-2,4.179478623E-3
1.155441187E2,-3.111232305E-3,-1.341421306E-1,4.999299534E-3
1.155640087E2,-4.099543206E-3,-1.707301736E-1,5.278865807E-3
1.155838997E2,-7.479090244E-3,-2.085389197E-1,6.223156117E-3
1.156037907E2,-1.142475102E-2,-2.407718897E-1,6.011234131E-3
1.156236807E2,-1.212076191E-2,-2.726778984E-1,8.699330501E-3
1.156435717E2,-1.453740150E-2,-3.054184020E-1,7.166215219E-3
1.156634627E2,-1.892501116E-2,-3.354557753E-1,7.943890058E-3
1.156833527E2,-1.925325394E-2,-3.596114218E-1,8.773828857E-3
1.157032437E2,-2.072388493E-2,-3.860214949E-1,7.287554909E-3
1.157231347E2,-2.606049739E-2,-4.114291966E-1,7.086287253E-3
1.157430247E2,-2.695901319E-2,-4.306803644E-1,9.974717163E-3
1.157629157E2,-2.956464142E-2,-4.487256110E-1,7.778542116E-3
1.157828057E2,-3.207720816E-2,-4.662843645E-1,8.211671375E-3
1.158026967E2,-3.118660673E-2,-4.802183807E-1,8.709847927E-3
1.158225877E2,-3.270237893E-2,-4.899675846E-1,9.476840496E-3
1.158424777E2,-3.606391698E-2,-5.002012253E-1,8.412573487E-3
1.158623687E2,-3.473361582E-2,-5.067428350E-1,8.134840056E-3
1.158822597E2,-3.597519547E-2,-5.085838437E-1,7.694017142E-3
1.159021497E2,-3.827461228E-2,-5.084328651E-1,8.027078584E-3
1.159220407E2,-3.809963912E-2,-5.081445575E-1,8.379083127E-3
1.159419317E2,-3.689400852E-2,-4.993541241E-1,7.790792733E-3
1.159618217E2,-3.855920956E-2,-4.934888780E-1,8.209307678E-3
1.159817127E2,-3.790890425E-2,-4.819370508E-1,7.078363560E-3
1.160016037E2,-3.624239936E-2,-4.689835012E-1,8.040827699E-3
1.160214937E2,-3.577709198E-2,-4.510813951E-1,8.755322546E-3
1.160413847E2,-3.241138905E-2,-4.326344728E-1,7.656768430E-3
1.160612757E2,-3.371123970E-2,-4.104120731E-1,7.730170619E-3
1.160811657E2,-3.239634633E-2,-3.872164488E-1,7.964928634E-3
1.161010567E2,-3.014528938E-2,-3.629048169E-1,7.416650187E-3
1.161209467E2,-3.027344681E-2,-3.340717256E-1,9.406323545E-3
1.161408377E2,-2.557207830E-2,-3.035441637E-1,8.626786992E-3
1.161607287E2,-2.410149015E-2,-2.728960216E-1,8.202753030E-3
1.161806187E2,-2.109580487E-2,-2.412431091E-1,9.978502989E-3
1.162005100E2,-2.161010541E-2,-2.030401379E-1,7.520343643E-3
1.162204010E2,-1.569965668E-2,-1.697464436E-1,6.428524852E-3
1.162402910E2,-1.495717652E-2,-1.366734952E-1,8.192469366E-3
1.162601820E2,-1.242459286E-2,-9.523068368E-2,5.641710944E-3
1.162800730E2,-7.833395153E-3,-5.663403496E-2,6.826722994E-3
1.162999630E2,-3.906459548E-3,-2.170006186E-2,5.659463815E-3
1.163198540E2,-3.674550448E-3,1.799530536E-2,3.724800888E-3
1.163397450E2,9.527633665E-5,5.589621887E-2,4.228675272E-3
